Category,Guardrail Type,Example Rule,Objective,Implementation Approach,Example Tools,Application Stage,Region
US Consumer Protection,CFPB QM Rules,Handle Qualified Mortgage rule compliance,Ensure responsible mortgage lending practices,"QM rule validation, ability-to-repay assessment, safe harbor compliance","QM compliance platforms, ATR assessment tools, Mortgage lending systems",Both,United States
US Consumer Protection,CRA Community Reinvestment,Address community reinvestment obligations,Comply with Community Reinvestment Act requirements,"CRA assessment validation, community development tracking, fair lending practices","CRA compliance platforms, Community development tools, Fair lending systems",Both,United States
US Investment Regulations,SEC Investment Adviser,Handle investment advisory regulations,Comply with Securities and Exchange Commission advisory rules,"Investment advisor registration validation, fiduciary duty compliance, advisor disclosure requirements","SEC compliance platforms, Investment advisory tools, Fiduciary compliance systems",Both,United States
US Investment Regulations,FINRA Broker-Dealer,Ensure broker-dealer regulation compliance,Comply with Financial Industry Regulatory Authority rules,"FINRA rule validation, broker-dealer compliance, securities trading regulations","FINRA compliance platforms, Broker-dealer tools, Securities trading systems",Both,United States
US Investment Regulations,Regulation Best Interest,Implement best interest standard for recommendations,Ensure broker-dealers act in customer's best interest,"Best interest validation, disclosure obligations, conflict of interest management","Best interest platforms, Disclosure tools, Conflict management systems",Both,United States
US Anti-Money Laundering,BSA/AML Compliance,Implement Bank Secrecy Act requirements,Ensure anti-money laundering compliance,"Suspicious activity reporting, customer due diligence, transaction monitoring","BSA/AML platforms, Transaction monitoring tools, SAR reporting systems",Both,United States
US Anti-Money Laundering,USA PATRIOT Act,Handle customer identification and verification,Comply with USA PATRIOT Act customer identification requirements,"Customer identification validation, beneficial ownership identification, sanctions screening","CIP platforms, Beneficial ownership tools, Sanctions screening systems",Both,United States
US Anti-Money Laundering,FinCEN Reporting,Ensure proper Financial Crimes Enforcement Network reporting,Comply with FinCEN reporting and recordkeeping requirements,"FinCEN report validation, beneficial ownership reporting, suspicious activity detection","FinCEN platforms, Reporting tools, Financial crimes detection systems",Both,United States
Cross-Border Banking,Basel III Implementation,Handle Basel III capital requirement discussions,Ensure international banking standard compliance,"Basel III compliance validation, capital adequacy ratios, liquidity requirements","Basel III platforms, Capital management tools, International compliance systems",Both,Europe/United States
Cross-Border Banking,FATCA Compliance,Handle Foreign Account Tax Compliance Act requirements,Ensure US tax compliance for foreign accounts,"FATCA reporting validation, US person identification, tax compliance verification","FATCA platforms, Tax compliance tools, Foreign account systems",Both,Europe/United States
Cross-Border Banking,CRS Common Reporting,Implement Common Reporting Standard for tax transparency,Ensure automatic exchange of financial account information,"CRS compliance validation, tax residency determination, automatic information exchange","CRS platforms, Tax residency tools, Information exchange systems",Both,Europe/United States
Cross-Border Banking,Correspondent Banking,Handle correspondent banking relationship requirements,Ensure compliant cross-border banking services,"Correspondent bank due diligence, cross-border compliance, regulatory coordination","Correspondent banking platforms, Due diligence tools, Cross-border compliance systems",Both,Europe/United States
Regional Product Differences,EU SEPA Payments,Handle Single Euro Payments Area discussions,Ensure SEPA payment scheme compliance,"SEPA payment validation, euro area compliance, payment scheme requirements","SEPA platforms, Euro payment tools, Payment scheme systems",Both,Europe
Regional Product Differences,US ACH Network,Handle Automated Clearing House payment discussions,Ensure ACH network compliance and proper processing,"ACH transaction validation, network rules compliance, payment processing requirements","ACH platforms, Network compliance tools, Payment processing systems",Both,United States
Regional Product Differences,EU ELTIFs Investment,Handle European Long-term Investment Fund discussions,Ensure ELTIF regulation compliance for long-term investments,"ELTIF compliance validation, long-term investment requirements, regulatory compliance","ELTIF platforms, Long-term investment tools, Investment compliance systems",Both,Europe
Regional Product Differences,US 401k Retirement,Handle US retirement plan discussions,Ensure proper 401(k) and retirement plan information,"Retirement plan validation, ERISA compliance, fiduciary responsibility requirements","401k platforms, Retirement planning tools, ERISA compliance systems",Both,United States
Sanctions and Trade,EU Sanctions Compliance,Implement European Union sanctions screening,Ensure compliance with EU restrictive measures,"EU sanctions list screening, trade restriction validation, compliance monitoring","EU sanctions platforms, Trade compliance tools, Restrictive measures systems",Both,Europe
Sanctions and Trade,OFAC Sanctions Screening,Implement Office of Foreign Assets Control screening,Ensure US sanctions compliance for all transactions,"OFAC list screening, sanctions violation prevention, compliance validation","OFAC platforms, Sanctions screening tools, Compliance monitoring systems",Both,United States
